Puntaje estudiante;;;;;;;;;;Municipio estudiante;;;Departamento estudiante;
Puntaje total;ESTU_CONSECUTIVO;PUNT_LENGUAJE;PUNT_MATEMATICAS;PUNT_C_SOCIALES;PUNT_FILOSOFIA;PUNT_BIOLOGIA;PUNT_QUIMICA;PUNT_FISICA;PUNT_INGLES;CODIGO;ESTU_RESIDE_MCPIO;;CODIGO;DEPARTAMENTO
305;SABER1120121000001;39;37;33;45;30;35;46;40;1;TURBO;;1;ANTIOQUIA
264;SABER1120121000002;31;37;28;29;29;41;32;37;2;MONTERIA;;2;CÓRDOBA
300;SABER1120121000003;46;34;40;43;46;33;25;33;3;ORITO;;3;PUTUMAYO
354;SABER1120121000004;50;47;49;43;55;45;18;47;4;CALI;;4;VALLE
332;SABER1120121000005;46;40;50;36;42;39;39;40;5;ARMENIA;;5;QUINDÍO
313;SABER1120121000006;48;37;45;41;46;35;32;29;6;JAMUNDI;;6;CASANARE
325;SABER1120121000007;48;54;51;32;44;40;25;31;7;VILLANUEVA;;7;BOGOTÁ
312;SABER1120121000008;46;33;51;32;48;38;33;31;8;BOGOTÁ D.C.;;8;BOYACÁ
297;SABER1120121000009;41;43;42;31;36;39;32;33;9;MONIQUIRA;;9;GUAINÍA
348;SABER1120121000010;56;44;49;35;36;41;45;42;10;CARTAGO;;10;META
315;SABER1120121000011;48;33;51;45;40;38;29;31;11;INIRIDA;;11;GUAVIARE
316;SABER1120121000012;52;40;36;42;44;37;39;26;12;VILLAVICENCIO;;12;ATLÁNTICO
350;SABER1120121000013;56;43;44;37;49;48;42;31;13;SAN JOSE DEL GUAVIARE;;13;HUILA
342;SABER1120121000014;41;37;51;48;40;42;43;40;14;BUENAVENTURA;;14;BOLÍVAR
334;SABER1120121000015;46;41;49;35;44;43;36;40;15;EL CERRITO;;15;CESAR
345;SABER1120121000016;52;54;38;39;46;50;33;33;16;BARRANQUILLA;;16;MAGDALENA
357;SABER1120121000017;50;46;33;43;51;39;36;59;17;NEIVA;;17;
372;SABER1120121000018;59;51;50;48;46;50;39;29;18;CHIGORODO;;18;RISARALDA
381;SABER1120121000019;50;54;50;30;47;57;60;33;19;RIONEGRO;;19;NARIÑO
437;SABER1120121000020;56;49;56;39;63;56;50;68;20;APARTADO;;20;TOLIMA
307;SABER1120121000021;50;34;44;36;37;38;37;31;21;BELLO;;21;SANTANDER
389;SABER1120121000022;56;52;49;42;44;53;42;51;22;CARTAGENA;;22;NORTE SANTANDER
445;SABER1120121000023;60;60;55;45;57;56;57;55;23;VALLEDUPAR;;23;CUNDINAMARCA
417;SABER1120121000024;65;39;55;60;55;44;54;45;24;MEDELLIN;;24;CAUCA
416;SABER1120121000025;52;60;53;52;47;47;57;48;25;DAGUA;;25;SUCRE
502;SABER1120121000026;65;69;51;63;53;60;61;80;26;SANTA MARTA;;26;CHOCÓ
360;SABER1120121000027;52;42;46;41;43;49;42;45;27;SANTA ROSA DE CABAL;;27;CALDAS
325;SABER1120121000028;43;39;48;28;41;45;38;43;28;TUMACO;;28;AMAZONAS
432;SABER1120121000029;65;63;53;49;51;56;45;50;29;LA UNION;;29;CAQUETÁ
428;SABER1120121000030;58;60;51;41;57;53;57;51;30;PALMIRA;;30;LA GUAJIRA
392;SABER1120121000031;56;45;51;49;53;54;38;46;31;IBAGUE;;31;ARAUCA
350;SABER1120121000032;50;42;46;37;45;45;48;37;32;BARRANCABERMEJA;;32;VICHADA
499;SABER1120121000033;58;66;57;60;55;60;78;65;33;SAN PABLO;;33;VAUPÉS
351;SABER1120121000034;56;43;47;48;42;47;29;39;34;PAMPLONA;;34;SAN ANDRÉS
455;SABER1120121000035;54;65;57;60;58;57;51;53;35;CHIA;;;
449;SABER1120121000036;54;57;60;50;65;54;49;60;36;LA CALERA;;;
441;SABER1120121000037;63;62;42;50;51;57;66;50;37;ALVARADO;;;
344;SABER1120121000038;54;43;44;32;46;49;36;40;38;TULUA;;;
375;SABER1120121000039;50;49;51;43;40;47;52;43;39;PIEDECUESTA;;;
311;SABER1120121000040;46;37;36;42;36;39;32;43;40;JUAN DE ACOSTA;;;
379;SABER1120121000041;57;40;58;54;49;50;36;35;41;LENGUAZAQUE;;;
289;SABER1120121000042;26;33;36;30;42;40;43;39;42;CUCUNUBA;;;
342;SABER1120121000043;48;29;48;29;42;49;52;45;43;VILLA RICA;;;
341;SABER1120121000044;44;46;50;32;46;42;42;39;44;OCAÑA;;;
445;SABER1120121000045;52;59;46;55;60;45;65;63;45;BUCARAMANGA;;;
411;SABER1120121000046;57;46;53;44;53;50;51;57;46;PALMAS DEL SOCORRO;;;
494;SABER1120121000047;69;57;55;52;49;66;69;77;47;SINCELEJO;;;
345;SABER1120121000048;50;52;45;34;36;39;52;37;48;LA VEGA;;;
382;SABER1120121000049;54;49;42;39;58;50;44;46;49;NOCAIMA;;;
426;SABER1120121000050;59;40;58;60;56;55;45;53;50;YOPAL;;;
434;SABER1120121000051;48;62;49;53;53;54;59;56;51;PAZ DE ARIPORO;;;
385;SABER1120121000052;52;43;50;61;44;54;50;31;52;TAURAMENA;;;
342;SABER1120121000053;54;34;45;43;51;42;33;40;53;MONTERREY;;;
364;SABER1120121000054;57;40;45;46;42;47;44;43;54;TUNJA;;;
343;SABER1120121000055;52;63;46;48;46;39;32;17;55;GUACHETA;;;
433;SABER1120121000056;59;55;51;48;56;53;60;51;56;PASTO;;;
370;SABER1120121000057;57;52;49;38;45;44;46;39;57;VILLA DEL ROSARIO;;;
